,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
488,ObjectId(5e280b0c3186f205962b06ed),ICMP,ObjectId(5e280b0a3186f205962b046f),2020-01-22T08:42:50.356Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
504,ObjectId(5e280b0c3186f205962b06fd),ICMP,ObjectId(5e280b0a3186f205962b045f),2020-01-22T08:42:50.272Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
512,ObjectId(5e280b0c3186f205962b0705),ICMP,ObjectId(5e280b0a3186f205962b0457),2020-01-22T08:42:50.235Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
514,ObjectId(5e280b0c3186f205962b0707),ICMP,ObjectId(5e280b0a3186f205962b0455),2020-01-22T08:42:50.224Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
525,ObjectId(5e280b0c3186f205962b0712),ICMP,ObjectId(5e280b093186f205962b044a),2020-01-22T08:42:49.965Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
531,ObjectId(5e280b0c3186f205962b071b),ICMP,ObjectId(5e280b093186f205962b0444),2020-01-22T08:42:49.937Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
533,ObjectId(5e280b0c3186f205962b071e),ICMP,ObjectId(5e280b093186f205962b0442),2020-01-22T08:42:49.928Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
536,ObjectId(5e280b0c3186f205962b0723),ICMP,ObjectId(5e280b093186f205962b043f),2020-01-22T08:42:49.913Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
542,ObjectId(5e280b0c3186f205962b072e),ICMP,ObjectId(5e280b093186f205962b0439),2020-01-22T08:42:49.884Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
550,ObjectId(5e280b0c3186f205962b073b),ICMP,ObjectId(5e280b093186f205962b0431),2020-01-22T08:42:49.846Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
560,ObjectId(5e280b0c3186f205962b074c),ICMP,ObjectId(5e280b093186f205962b0427),2020-01-22T08:42:49.798Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
570,ObjectId(5e280b0c3186f205962b075c),ICMP,ObjectId(5e280b093186f205962b041d),2020-01-22T08:42:49.750Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
572,ObjectId(5e280b0c3186f205962b075f),ICMP,ObjectId(5e280b093186f205962b041b),2020-01-22T08:42:49.740Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
576,ObjectId(5e280b0c3186f205962b0765),ICMP,ObjectId(5e280b093186f205962b0417),2020-01-22T08:42:49.720Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
583,ObjectId(5e280b0c3186f205962b0771),ICMP,ObjectId(5e280b093186f205962b0410),2020-01-22T08:42:49.681Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
584,ObjectId(5e280b0c3186f205962b0773),ICMP,ObjectId(5e280b093186f205962b040f),2020-01-22T08:42:49.676Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
